URL,Locales
https://www.atlassian.com/software/jira,"German, Portuguese (Brazil)"
https://www.atlassian.com/software/jira/service-management,"German, Portuguese (Brazil)"
https://www.atlassian.com/software/confluence,German
https://www.atlassian.com/software/statuspage,Portuguese (Brazil)
